mode	flight_number	callsign	aircraft_model_code	aircraft_model_description	aircraft_registration	airline_name	airline_iata	airline_icao	flight_origin_code_iata	flight_origin_code_icao	flight_origin_name	flight_origin_time_offset	flight_destination_code_iata	flight_destination_code_icao	flight_destination_name	flight_destination_time_offset	flight_departure_scheduled	flight_departure_real	flight_arrival_scheduled	flight_arrival_real	flight_duaration
arrivals	BA727	BAW27G	A319	Airbus A319-131	G-EUPC	British Airways	BA	BAW	GVA	LSGG	Geneva International Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558346100	1558346641	1558352400	1558351787.0	5160.0
arrivals	BA48	BAW48Q	B744	Boeing 747-436	G-CIVR	British Airways	BA	BAW	SEA	KSEA	Seattle Tacoma International Airport	-25200	LHR	EGLL	London Heathrow Airport	3600	1558318800	1558319335	1558352400	1558352280.0	32940.0
arrivals	BA791	BAW791	A320	Airbus A320-214	G-EUYY	British Airways	BA	BAW	GOT	ESGG	Gothenburg Landvetter Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558343700	1558344428	1558352100	1558350601.0	6180.0
arrivals	BA753	BAW753	A319	Airbus A319-131	G-EUOB	British Airways	BA	BAW	BSL	LFSB	Basel Mulhouse-Freiburg EuroAirport	7200	LHR	EGLL	London Heathrow Airport	3600	1558345800	1558346472	1558352100	1558351038.0	4560.0
arrivals	BA156	BAW156	B772	Boeing 777-236(ER)	G-VIIS	British Airways	BA	BAW	KWI	OKBK	Kuwait International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558327200	1558327336	1558352100	1558349326.0	22020.0
arrivals	JU380	ASL51G	A319	Airbus A319-131	YU-APC	AirSERBIA	JU	ASL	BEG	LYBE	Belgrade Nikola Tesla Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558340700	1558342659	1558351800	1558351542.0	8880.0
arrivals	BA855	BAW855	A320	Airbus A320-232	G-EUUK	British Airways	BA	BAW	PRG	LKPR	Prague Vaclav Havel Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558343700	1558345063	1558351800	1558350797.0	5760.0
arrivals	BA565	BAW62NL	A320	Airbus A320-232	G-EUUT	British Airways	BA	BAW	LIN	LIML	Milan Linate Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558344300	1558344724	1558351800	1558350155.0	5460.0
arrivals	EK1	UAE6VH	A388	Airbus A380-861	A6-EOH	Emirates (ICC Cricket World Cup 2019 Livery)	EK	UAE	DXB	OMDB	Dubai International Airport	14400	LHR	EGLL	London Heathrow Airport	3600	1558323900	1558326215	1558351500	1558351144.0	24900.0
arrivals	BA309	BAW309	A320	Airbus A320-232	G-EUYJ	British Airways	BA	BAW	CDG	LFPG	Paris Charles de Gaulle Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558346700	1558348056	1558351500	1558350871.0	2820.0
arrivals	UA923	UAL923	B789	Boeing 787-9 Dreamliner	N38955	United Airlines	UA	UAL	LAX	KLAX	Los Angeles International Airport	-25200	LHR	EGLL	London Heathrow Airport	3600	1558313100	1558313812	1558351200	1558349578.0	35760.0
arrivals	BA220	BAW220	B788	Boeing 787-8 Dreamliner	G-ZBJG	British Airways	BA	BAW	CHS	KCHS	Charleston International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558322400	1558323427	1558351200	1558350482.0	27060.0
arrivals	BA373	BAW4DP	A319	Airbus A319-131	G-EUOA	British Airways	BA	BAW	TLS	LFBO	Toulouse Blagnac Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558343700	1558345384	1558350900	1558350699.0	5340.0
arrivals	VS20	VIR20V	B789	Boeing 787-9 Dreamliner	G-VFAN	Virgin Atlantic	VS	VIR	SFO	KSFO	San Francisco International Airport	-25200	LHR	EGLL	London Heathrow Airport	3600	1558314000	1558315057	1558350900	1558350327.0	35280.0
arrivals	BA827	BAW42DB	A319	Airbus A319-131	G-EUOG	British Airways	BA	BAW	DUB	EIDW	Dublin Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558345500	1558345891	1558350900	1558349462.0	3600.0
arrivals	BA457	BAW457	A21N	Airbus A321-251NX	G-NEOT	British Airways	BA	BAW	MAD	LEMD	Madrid Barajas Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558342500	1558343646	1558350900	1558350942.0	7320.0
arrivals	BA367	BAW16MT	A320	Airbus A320-232	G-EUUP	British Airways	BA	BAW	MRS	LFML	Marseille Provence Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558343400	1558344080	1558350900	1558349840.0	5760.0
arrivals	BA919	BAW3HK	A319	Airbus A319-131	G-EUOC	British Airways	BA	BAW	STR	EDDS	Stuttgart Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558344000	1558346357	1558350600	1558350967.0	4620.0
arrivals	DL36	DAL36	B763	Boeing 767-332(ER)	N196DN	Delta Air Lines	DL	DAL	PDX	KPDX	Portland International Airport	-25200	LHR	EGLL	London Heathrow Airport	3600	1558313580	1558314399	1558350600	1558349660.0	35280.0
arrivals	BA1479	SHT7C	A321	Airbus A321-231	G-MEDN	British Airways	BA	BAW	GLA	EGPF	Glasgow International Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558345200	1558346702	1558350600	1558350673.0	3960.0
arrivals	BA154	BAW154	B772	Boeing 777-236	G-ZZZA	British Airways	BA	BAW	CAI	HECA	Cairo International Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558332000	1558332022	1558350600	1558348761.0	16740.0
arrivals	BE2183	BEE1CA	DH8D	Bombardier Dash 8 Q400	G-FLBC	Flybe	BE	BEE	NQY	EGHQ	Newquay Cornwall Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558346100	1558346531	1558350300	1558349844.0	3300.0
arrivals	BA417	BAW7LX	A320	Airbus A320-232	G-EUYC	British Airways	BA	BAW	LUX	ELLX	Luxembourg Findel Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558344900	1558344956	1558350300	1558348533.0	3600.0
arrivals	SU2578	AFL2578	A321	Airbus A321-211	VP-BTL	Aeroflot (Manchester United livery)	SU	AFL	SVO	UUEE	Moscow Sheremetyevo International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558335000	1558336896	1558350300	1558349491.0	12600.0
arrivals	BA813	BAW813	A321	Airbus A321-231	G-EUXF	British Airways	BA	BAW	CPH	EKCH	Copenhagen Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558342500	1558342958	1558350300	1558348952.0	6000.0
arrivals	AA108	AAL108	B77W	Boeing 777-323(ER)	N734AR	American Airlines	AA	AAL	LAX	KLAX	Los Angeles International Airport	-25200	LHR	EGLL	London Heathrow Airport	3600	1558311300	1558314511	1558350300	1558349967.0	35460.0
arrivals	BA991	BAW991	A320	Airbus A320-232	G-EUYO	British Airways	BA	BAW	TXL	EDDT	Berlin Tegel Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558342500	1558342920	1558350000	1558348447.0	5520.0
arrivals	BA977	BAW977	A320	Airbus A320-232	G-EUUB	British Airways	BA	BAW	HAJ	EDDV	Hannover Langenhagen Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558344000	1558345507	1558350000	1558349779.0	4260.0
arrivals	BA903	BAW903U	A320	Airbus A320-232	G-EUYH	British Airways	BA	BAW	FRA	EDDF	Frankfurt Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558343400	1558345985	1558350000	1558350062.0	4080.0
arrivals	BA431	BAW431	A321	Airbus A321-231	G-EUXI	British Airways	BA	BAW	AMS	EHAM	Amsterdam Schiphol Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558345200	1558348333	1558350000	1558351311.0	3000.0
arrivals	CA787	CCA787	A332	Airbus A330-243	B-6117	Air China	CA	CCA	PEK	ZBAA	Beijing Capital International Airport	28800	LHR	EGLL	London Heathrow Airport	3600	1558308900	1558310155	1558349400	1558348282.0	38100.0
arrivals	BA36	BAW36	B788	Boeing 787-8 Dreamliner	G-ZBJH	British Airways	BA	BAW	MAA	VOMM	Chennai International Airport	19800	LHR	EGLL	London Heathrow Airport	3600	1558310460	1558311298	1558349400	1558347595.0	36300.0
arrivals	AC854	ACA854	B77W	Boeing 777-333(ER)	C-FKAU	Air Canada	AC	ACA	YVR	CYVR	Vancouver International Airport	-25200	LHR	EGLL	London Heathrow Airport	3600	1558316100	1558316495	1558349400	1558349152.0	32640.0
arrivals	NZ2	ANZ2	B77W	Boeing 777-319(ER)	ZK-OKS	Air New Zealand	NZ	ANZ	LAX	KLAX	Los Angeles International Airport	-25200	LHR	EGLL	London Heathrow Airport	3600	1558311300	1558312828	1558349100	1558348681.0	35880.0
arrivals	FI450	ICE450	B763	Boeing 767-319(ER)	TF-ISO	Icelandair	FI	ICE	KEF	BIKF	Keflavik International Airport	0	LHR	EGLL	London Heathrow Airport	3600	1558338000	1558339175	1558349100	1558349031.0	9840.0
arrivals	BA949	BAW949L	A319	Airbus A319-131	G-EUOH	British Airways	BA	BAW	MUC	EDDM	Munich Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558341300	1558342469	1558349100	1558347784.0	5340.0
arrivals	BA146	BAW146	A321	Airbus A321-231	G-MEDU	British Airways	BA	BAW	AMM	OJAI	Amman Queen Alia International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558328400	1558329380	1558348800	1558346939.0	17580.0
arrivals	BA196	BAW196E	B772	Boeing 777-236(ER)	G-YMMI	British Airways	BA	BAW	IAH	KIAH	Houston George Bush Intercontinental Airport	-18000	LHR	EGLL	London Heathrow Airport	3600	1558315500	1558317836	1558348800	1558349363.0	31500.0
arrivals	BA1441	SHT9Z	A21N	Airbus A321-251NX	G-NEOR	British Airways	BA	BAW	EDI	EGPH	Edinburgh Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558343100	1558344477	1558348800	1558348604.0	4140.0
arrivals	BA393	BAW393B	A319	Airbus A319-131	G-EUPM	British Airways	BA	BAW	BRU	EBBR	Brussels Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558344000	1558345822	1558348500	1558348899.0	3060.0
arrivals	UA5	UAL5	B789	Boeing 787-9 Dreamliner	N29961	United Airlines	UA	UAL	IAH	KIAH	Houston George Bush Intercontinental Airport	-18000	LHR	EGLL	London Heathrow Airport	3600	1558315500	1558317204	1558348500	1558348602.0	31380.0
arrivals	BA218	BAW17V	B744	Boeing 747-436	G-CIVU	British Airways	BA	BAW	DEN	KDEN	Denver International Airport	-21600	LHR	EGLL	London Heathrow Airport	3600	1558316100	1558316927	1558348500	1558346780.0	29880.0
arrivals	BA473	BAW473	A320	Airbus A320-232	G-EUYF	British Airways	BA	BAW	BCN	LEBL	Barcelona El Prat Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558339800	1558340847	1558348500	1558348056.0	7200.0
arrivals	EW9466	EWG6GC	A319	Airbus A319-132	D-AGWY	Eurowings	EW	EWG	DUS	EDDL	Dusseldorf International Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558342500	1558343555	1558348200	1558347283.0	3720.0
arrivals	BA280	BAW280	B789	Boeing 787-9 Dreamliner	G-ZBKL	British Airways	BA	BAW	LAX	KLAX	Los Angeles International Airport	-25200	LHR	EGLL	London Heathrow Airport	3600	1558310100	1558311440	1558348200	1558347074.0	35640.0
arrivals	BA226	BAW23T	B772	Boeing 777-236(ER)	G-VIIA	British Airways	BA	BAW	ATL	KATL	Atlanta Hartsfield-Jackson International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558318800	1558319739	1558348200	1558347835.0	28080.0
arrivals	AI131	AIC131	B77W	Boeing 777-337(ER)	VT-ALT	Air India	AI	AIC	BOM	VABB	Mumbai Chhatrapati Shivaji International Airport	19800	LHR	EGLL	London Heathrow Airport	3600	1558314000	1558314493	1558348200	1558346133.0	31620.0
arrivals	LX318	SWR34E	A320	Airbus A320-214	HB-IJD	Swiss	LX	SWR	ZRH	LSZH	Zurich Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558341000	1558342327	1558347900	1558347413.0	5100.0
arrivals	BA965	BAW965	A21N	Airbus A321-251NX	G-NEOS	British Airways	BA	BAW	HAM	EDDH	Hamburg Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558341300	1558345878	1558347900	1558350187.0	4320.0
arrivals	BA937	BAW937	A319	Airbus A319-131	G-EUPO	British Airways	BA	BAW	DUS	EDDL	Dusseldorf International Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558342200	1558342734	1558347900	1558346391.0	3660.0
arrivals	BA148	BAW148	A321	Airbus A321-231	G-MEDF	British Airways	BA	BAW	BEY	OLBA	Beirut Rafic Hariri International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558328400	1558328743	1558347600	1558346440.0	17700.0
arrivals	UA938	UAL938	B763	Boeing 767-322(ER)	N665UA	United Airlines	UA	UAL	ORD	KORD	Chicago O'Hare International Airport	-18000	LHR	EGLL	London Heathrow Airport	3600	1558318500	1558320094	1558347600	1558346501.0	26400.0
arrivals	BA1341	SHT21Z	A319	Airbus A319-131	G-EUPZ	British Airways	BA	BAW	LBA	EGNM	Leeds Bradford Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558342800	1558343013	1558347300	1558345973.0	2940.0
arrivals	ME201	MEA201	A320	Airbus A320-232	OD-MRL	MEA	ME	MEA	BEY	OLBA	Beirut Rafic Hariri International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558329000	1558329812	1558347300	1558346858.0	17040.0
arrivals	A3600	AEE6AV	A321	Airbus A321-232	SX-DGP	Aegean Airlines	A3	AEE	ATH	LGAV	Athens Eleftherios Venizelos	10800	LHR	EGLL	London Heathrow Airport	3600	1558332900	1558333380	1558347300	1558345655.0	12300.0
arrivals	DL3	DAL3	A332	Airbus A330-223	N860NW	Delta Air Lines	DL	DAL	JFK	KJFK	New York John F. Kennedy International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558321200	1558324320	1558347000	1558348216.0	23880.0
arrivals	EI158	EIN158	A320	Airbus A320-214	EI-DVH	Aer Lingus	EI	EIN	DUB	EIDW	Dublin Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558341600	1558341778	1558347000	1558345568.0	3780.0
arrivals	DL18	DAL18	B763	Boeing 767-332(ER)	N182DN	Delta Air Lines	DL	DAL	DTW	KDTW	Detroit Metropolitan Wayne County Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558319100	1558319879	1558347000		
arrivals	BA1477	SHT7Y	A320	Airbus A320-232	G-EUYB	British Airways	BA	BAW	GLA	EGPF	Glasgow International Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558341300	1558341655	1558347000	1558345734.0	4080.0
arrivals	BA1305	SHT19U	A319	Airbus A319-131	G-EUOD	British Airways	BA	BAW	ABZ	EGPD	Aberdeen International Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558340700	1558340712	1558347000		
arrivals	AC858	ACA858	B77W	Boeing 777-333(ER)	C-FIVQ	Air Canada	AC	ACA	YYZ	CYYZ	Toronto Pearson International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558321500	1558323767	1558346700	1558347418.0	23640.0
arrivals	AA732	AAL732	A333	Airbus A330-323	N270AY	American Airlines	AA	AAL	CLT	KCLT	Charlotte Douglas International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558317900	1558318893	1558346700	1558345849.0	26940.0
arrivals	BA182	BAW18A	B772	Boeing 777-236(ER)	G-YMMO	British Airways	BA	BAW	JFK	KJFK	New York John F. Kennedy International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558321200	1558324690	1558346700	1558347873.0	23160.0
arrivals	BA166	BAW166	B772	Boeing 777-236(ER)	G-YMMT	British Airways	BA	BAW	TLV	LLBG	Tel Aviv Ben Gurion International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558327200	1558327982	1558346700		
arrivals	SU2570	AFL2570	B738	Boeing 737-8MC	VP-BMD	Aeroflot	SU	AFL	SVO	UUEE	Moscow Sheremetyevo International Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558331400	1558332380	1558346400		
arrivals	BA725	BAW725	A319	Airbus A319-131	G-EUPP	British Airways	BA	BAW	GVA	LSGG	Geneva International Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558339800	1558340160	1558346400		
arrivals	BA675	BAW675	A320	Airbus A320-232	G-EUUM	British Airways	BA	BAW	IST	LTFM	Istanbul Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558330800	1558332149	1558346400		
arrivals	BA307	BAW307	A319	Airbus A319-131	G-EUPU	British Airways	BA	BAW	CDG	LFPG	Paris Charles de Gaulle Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558341300	1558342509	1558346400		
arrivals	DL32	DAL32	A333	Airbus A330-323	N806NW	Delta Air Lines	DL	DAL	ATL	KATL	Atlanta Hartsfield-Jackson International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558316640	1558317308	1558346193	1558346570.0	29280.0
arrivals	BA284	BAW71F	B744	Boeing 747-436	G-CIVS	British Airways	BA	BAW	SFO	KSFO	San Francisco International Airport	-25200	LHR	EGLL	London Heathrow Airport	3600	1558308600	1558310406	1558346100	1558345791.0	35400.0
arrivals	BA1389	SHT3R	A320	Airbus A320-232	G-EUYL	British Airways	BA	BAW	MAN	EGCC	Manchester Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558341900	1558343000	1558346100		
arrivals	DL50	DAL50	B763	Boeing 767-332(ER)	N187DN	Delta Air Lines	DL	DAL	SLC	KSLC	Salt Lake City International Airport	-21600	LHR	EGLL	London Heathrow Airport	3600	1558310280	1558311232	1558345800		
arrivals	AA104	AAL104	B77W	Boeing 777-323(ER)	N725AN	American Airlines	AA	AAL	JFK	KJFK	New York John F. Kennedy International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558319700	1558324269	1558345800	1558347509.0	23220.0
arrivals	BA296	BAW24R	A388	Airbus A380-841	G-XLEK	British Airways	BA	BAW	ORD	KORD	Chicago O'Hare International Airport	-18000	LHR	EGLL	London Heathrow Airport	3600	1558317300	1558320721	1558345500	1558346709.0	25980.0
arrivals	KL1009	KLM1009	B739	Boeing 737-9K2	PH-BXP	KLM	KL	KLM	AMS	EHAM	Amsterdam Schiphol Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558340100	1558341913	1558345500		
arrivals	BA1439	SHT90P	A321	Airbus A321-231	G-EUXE	British Airways	BA	BAW	EDI	EGPH	Edinburgh Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558339800	1558339964	1558345500		
arrivals	BA1423	SHT88T	A320	Airbus A320-232	G-EUUX	British Airways	BA	BAW	BHD	EGAC	Belfast City George Best  Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558340400	1558340876	1558345500		
arrivals	BA361	BAW42Y	A320	Airbus A320-232	G-EUUA	British Airways	BA	BAW	LYS	LFLL	Lyon Saint Exupery Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558339200	1558339564	1558345500		
arrivals	LH904	DLH4EM	A20N	Airbus A320-271N	D-AINN	Lufthansa	LH	DLH	FRA	EDDF	Frankfurt Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558339200	1558340430	1558345200		
arrivals	AF1580	AFR158R	A319	Airbus A319-111	F-GRHK	Air France	AF	AFR	CDG	LFPG	Paris Charles de Gaulle Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558340100	1558341900	1558345200		
arrivals	BE2103	BEE5AZ	DH8D	Bombardier Dash 8 Q400	G-ECOJ	Flybe	BE	BEE	EDI	EGPH	Edinburgh Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558338600	1558339751	1558344900		
arrivals	BA292	BAW3C	B744	Boeing 747-436	G-CIVC	British Airways (Oneworld livery)	BA	BAW	IAD	KIAD	Washington Dulles International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558318800	1558320124	1558344900		
arrivals	VS8	VIR8E	B789	Boeing 787-9 Dreamliner	G-VWOO	Virgin Atlantic	VS	VIR	LAX	KLAX	Los Angeles International Airport	-25200	LHR	EGLL	London Heathrow Airport	3600	1558307700	1558307962	1558344900	1558343105.0	35160.0
arrivals	BA833	BAW38DB	A319	Airbus A319-131	G-EUPL	British Airways	BA	BAW	DUB	EIDW	Dublin Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558339500	1558339783	1558344900	1558343335.0	3540.0
arrivals	UA924	UAL924	B788	Boeing 787-8 Dreamliner	N26910	United Airlines	UA	UAL	IAD	KIAD	Washington Dulles International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558318500	1558328643	1558344600	1558353494.0	24840.0
arrivals	IB3160	IBE31SA	A321	Airbus A321-212	EC-HUI	Iberia	IB	IBE	MAD	LEMD	Madrid Barajas Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558335900	1558337486	1558344600		
arrivals	BA429	BAW429	A21N	Airbus A321-251NX	G-NEOP	British Airways	BA	BAW	AMS	EHAM	Amsterdam Schiphol Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558339500	1558341769	1558344600		
arrivals	AA78	AAL78	B772	Boeing 777-223(ER)	N796AN	American Airlines (Oneworld Livery)	AA	AAL	DFW	KDFW	Dallas Fort Worth International Airport	-18000	LHR	EGLL	London Heathrow Airport	3600	1558310700	1558312064	1558344600	1558342568.0	30480.0
arrivals	BA222	BAW222	B789	Boeing 787-9 Dreamliner	G-ZBKP	British Airways	BA	BAW	BNA	KBNA	Nashville International Airport	-18000	LHR	EGLL	London Heathrow Airport	3600	1558315200	1558316271	1558344300	1558343423.0	27180.0
arrivals	BA208	BAW34N	B744	Boeing 747-436	G-CIVK	British Airways (Oneworld livery)	BA	BAW	MIA	KMIA	Miami International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558312800	1558313744	1558344300	1558342678.0	28920.0
arrivals	BA170	BAW170	B788	Boeing 787-8 Dreamliner	G-ZBJF	British Airways	BA	BAW	PIT	KPIT	Pittsburgh International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558317000	1558318871	1558344300	1558343577.0	24720.0
arrivals	AC888	ACA888	B763	Boeing 767-375(ER)	C-GHOZ	Air Canada	AC	ACA	YOW	CYOW	Ottawa Macdonald-Cartier International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558319700	1558320183	1558344300	1558343244.0	23040.0
arrivals	TP1354	TAP1354	A320	Airbus A320-214	CS-TNM	TAP Air Portugal	TP	TAP	LIS	LPPT	Lisbon Humberto Delgado Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558334100	1558334577	1558344000	1558342791.0	8220.0
arrivals	BA1325	SHT13E	A320	Airbus A320-232	G-EUYK	British Airways	BA	BAW	NCL	EGNT	Newcastle Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558339200	1558339918	1558344000	1558343013.0	3120.0
arrivals	BA214	BAW80G	B789	Boeing 787-9 Dreamliner	G-ZBKG	British Airways	BA	BAW	BOS	KBOS	Boston Logan International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558320600	1558323259	1558344000		
arrivals	BA68	BAW68V	B772	Boeing 777-236(ER)	G-VIIM	British Airways	BA	BAW	PHL	KPHL	Philadelphia International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558317600	1558318986	1558344000	1558342729.0	23760.0
arrivals	AA728	AAL728	A332	Airbus A330-243	N292AY	American Airlines	AA	AAL	PHL	KPHL	Philadelphia International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558317300	1558322559	1558344000	1558348120.0	25560.0
arrivals	EI930	EIN9RV	A320	Airbus A320-214	EI-DEK	Aer Lingus	EI	EIN	BHD	EGAC	Belfast City George Best  Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558338300	1558338504	1558343700	1558342177.0	3660.0
arrivals	AI171	AIC171	B788	Boeing 787-8 Dreamliner	VT-ANI	Air India	AI	AIC	AMD	VAAH	Ahmedabad International Airport	19800	LHR	EGLL	London Heathrow Airport	3600	1558308300	1558309149	1558343700	1558341181.0	32040.0
arrivals	VS10	VIR10H	A333	Airbus A330-343	G-VSXY	Virgin Atlantic	VS	VIR	JFK	KJFK	New York John F. Kennedy International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558317600	1558323385	1558343700	1558347053.0	23640.0
arrivals	SN2093	BEL2AH	A320	Airbus A320-214	OO-SNG	Brussels Airlines	SN	BEL	BRU	EBBR	Brussels Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558338600	1558342946	1558343700	1558345695.0	2760.0
arrivals	UA940	UAL940	B763	Boeing 767-322(ER)	N668UA	United Airlines	UA	UAL	EWR	KEWR	New York Newark Liberty International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558317600	1558332516	1558343400	1558356473.0	23940.0
arrivals	BA282	BAW282	B744	Boeing 747-436	G-CIVH	British Airways	BA	BAW	LAX	KLAX	Los Angeles International Airport	-25200	LHR	EGLL	London Heathrow Airport	3600	1558305000	1558306282	1558343400	1558341694.0	35400.0
arrivals	BA250	BAW250	B789	Boeing 787-9 Dreamliner	G-ZBKA	British Airways	BA	BAW	SCL	SCEL	Santiago International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558291500	1558293147	1558343100	1558338942.0	45780.0
arrivals	VS2	VIR2R	A333	Airbus A330-343	G-VGEM	Virgin Atlantic	VS	VIR	EWR	KEWR	New York Newark Liberty International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558317600	1558319516	1558343100	1558342952.0	23460.0
arrivals	BA543	BAW543Q	A319	Airbus A319-131	G-EUPA	British Airways	BA	BAW	BLQ	LIPE	Bologna Guglielmo Marconi Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558334700	1558335961	1558343100	1558342261.0	6300.0
arrivals	BA391	BAW391	A320	Airbus A320-232	G-EUYI	British Airways	BA	BAW	BRU	EBBR	Brussels Airport	7200	LHR	EGLL	London Heathrow Airport	3600	1558338300	1558340023	1558343100	1558342495.0	2460.0
arrivals	BA98	BAW98	B772	Boeing 777-236(ER)	G-VIIC	British Airways	BA	BAW	YYZ	CYYZ	Toronto Pearson International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558317300	1558319818	1558342800	1558343462.0	23640.0
arrivals	AC850	ACA850	B789	Boeing 787-9 Dreamliner	C-FGEO	Air Canada	AC	ACA	YYC	CYYC	Calgary International Airport	-21600	LHR	EGLL	London Heathrow Airport	3600	1558311600	1558312175	1558342800	1558342066.0	29880.0
arrivals	VS12	VIR12E	A333	Airbus A330-343	G-VUFO	Virgin Atlantic	VS	VIR	BOS	KBOS	Boston Logan International Airport	-14400	LHR	EGLL	London Heathrow Airport	3600	1558318800	1558319727	1558342800	1558342308.0	22560.0
arrivals	BA631	BAW631	A320	Airbus A320-232	G-EUUL	British Airways	BA	BAW	ATH	LGAV	Athens Eleftherios Venizelos	10800	LHR	EGLL	London Heathrow Airport	3600	1558328400	1558328995	1558342800	1558340949.0	11940.0
arrivals	BA499	BAW499	A320	Airbus A320-232	G-EUYG	British Airways	BA	BAW	LIS	LPPT	Lisbon Humberto Delgado Airport	3600	LHR	EGLL	London Heathrow Airport	3600	1558332900	1558334208	1558342800	1558342345.0	8160.0
arrivals	BA190	BAW190	B744	Boeing 747-436	G-BNLN	British Airways	BA	BAW	AUS	KAUS	Austin Bergstrom International Airport	-18000	LHR	EGLL	London Heathrow Airport	3600	1558308600	1558310318	1558342500	1558341761.0	31440.0
arrivals	TK1979	THY1979	A333	Airbus A330-303	TC-JOK	Turkish Airlines	TK	THY	IST	LTFM	Istanbul Airport	10800	LHR	EGLL	London Heathrow Airport	3600	1558327500	1558329333	1558342200	1558341548.0	12240.0
